Name,location,Type,Reviews,Dietary Type,Price_Range
O Ya,"Boston, Massachusetts","Japanese,American",4.7,"Nut-free,Gluten-free,Dairy-free",$$
Uni,"Boston, Massachusetts","Japanese,Italian",4.6,"Vegan ,Dairy-free,Kosher",$$$$
Cafe Sushi,"Cambridge, Massachusetts","Japanese,European",4.4,Vegetarian,$$$
Maharaja,"Boston, Massachusetts","Indian,Italian",4.3,"Vegetarian,Vegan",$$
Mantra,"Boston, Massachusetts","Indian,Chinese",4.5,"Halal,Vegan",$$
Dosa-n-Curry,"Somerville, Massachusetts",Indian,4.2,Vegetarian,$$
Myers + Chang,"Boston, Massachusetts","Asian,Indian",4.5,"Nut-free,Halal,Dairy-free",$
Dumpling Cafe,"Boston, Massachusetts","Chinese,Italian",4.4,Dairy-free,$$
Winsor Dim Sum Cafe,"Boston, Massachusetts",Chinese,4.3,"Nut-free,Vegan",$
Sarma,"Somerville, Massachusetts","Mediterranean,Chinese,Asian",4.7,"Vegetarian, Vegan",$$$
Oleana,"Cambridge, Massachusetts",Mediterranean,4.6,"Vegetarian,Gluten-free",$$$
Avenue Kitchen + Bar,"Boston, Massachusetts","European,American",4.4,"Vegetarian,Nut-free",$$
Mida,"Boston, Massachusetts","Italian,Chinese",4.5,"Vegetarian ,Kosher",$$$
SRV,"Boston, Massachusetts","Italian,Indian",4.6,"Gluten-free,Halal",$$$
Giulia,"Cambridge, Massachusetts","European,American",4.7,Vegetarian,$$$
A Tavola,"Winchester, Massachusetts","Italian,American,Indian",4.5,"Vegetarian ,Kosher",$$
Bar Volpe,"Boston, Massachusetts","Italian,Chinese",4.6,"Vegetarian,Nut-free",$$$
Mamma Maria,"Boston, Massachusetts","Italian,European",4.7,"Nut-free,Vegan",$$$
Cosmic American,"Somerville, Massachusetts","American,Asian",4.4,"Vegetarian,Dairy-free,Kosher",$$
The Table at Season to Taste,"Cambridge, Massachusetts","American,Chinese",4.6,"Vegetarian,Gluten-free",$$$
Bisq,"Cambridge, Massachusetts","American,Steakhouse",4.5,"Vegetarian,Dairy-free",$$$
Craigie on Main,"Cambridge, Massachusetts","American,Italian",4.7,"Vegetarian,Kosher,Vegan",$$$
Little Donkey,"Cambridge, Massachusetts","Indian,Steakhouse",4.6,"Vegetarian,Vegan",$$
Moona,"Cambridge, Massachusetts",Mediterranean,4.5,"Vegetarian,Halal,Vegan",$$
Sofra Bakery,"Cambridge, Massachusetts",Mediterranean,4.7,"Vegetarian,Vegan",$$
Toro,"Boston, Massachusetts","Spanish,European,Asian",4.6,"Vegetarian,Kosher",$$
Celeste,"Somerville, Massachusetts",Mediterranean,4.5,"Vegetarian,Nut-free",$$
La Royal,"Cambridge, Massachusetts","Asian,American",4.4,"Vegetarian,Halal,Kosher",$$
El Centro,"Boston, Massachusetts","Mexican,American",4.3,"Vegetarian,Halal,Vegan",$
Tres Gatos,"Boston, Massachusetts","European,Asian",4.5,"Vegetarian,Dairy-free,Kosher",$$$
Spoon and Stable,"Minneapolis, Minnesota","European,Asian,Mediterranean",4.7,"Vegetarian, Gluten-Free",$$$
Young Joni,"Minneapolis, Minnesota","Italian,Mediterranean",4.8,"Vegetarian,Nut-Free,Kosher",$$$
Kado no Mise,"Minneapolis, Minnesota",Japanese,4.6,"Nut-Free,Vegan,Halal",$$$
Kyatchi,"Minneapolis, Minnesota","Japanese,Chinese",4.5,Vegan Gluten-Free,$$$
Masu Sushi & Robata,"Minneapolis, Minnesota",Japanese,4.4,"Nut-Free,Halal",$$$
Gorkha Palace,"Minneapolis, Minnesota","Indian,Japanese,Asian",4.3,"Vegetarian, Vegan",$$
India Palace,"Bloomington, Minnesota","Indian,Asian",4.2,"Vegetarian,Vegan",$$
Godavari,"Eden Prairie, Minnesota",Indian,4.4,"Vegetarian,Halal",$$
Tea House Chinese,"Minneapolis, Minnesota","Chinese,Japanese",4.1,"Nut-Free,Vegan,Gluten-Free",$
Peking Garden,"St. Paul, Minnesota","Chinese,Asian",4,"Dairy-Free,Kosher,Nut-Free",$$
Que Viet,"Minneapolis, Minnesota","Asian,Chinese,Mediterranean",4.3,"Vegetarian,,Kosher",$$
Lat14,"Golden Valley, Minnesota","Asian,Mediterranean",4.5,"Vegan,Gluten-Free",$$
World Street Kitchen,"Minneapolis, Minnesota","Asian,Japanese,Chinese",4.2,"Vegetarian, Vegan",$$
Hola Arepa,"Minneapolis, Minnesota","Mexican,American,Mediterranean",4.6,"Vegetarian,Halal,Kosher",$$
Borough,"Minneapolis, Minnesota",Mediterranean,4.4,"Gluten-Free,Vegan",$$$
Martina,"Minneapolis, Minnesota","American,Mediterranean",4.7,"Vegetarian,Vegan",$$$
Colita,"Minneapolis, Minnesota","Mexican,Asian",4.5,"Vegan,Dairy-Free",$$$
Myriel,"St. Paul, Minnesota","European,Chinese",4.6,"Gluten-Free,Dairy-Free",$$$
Sanjusan,"Minneapolis, Minnesota",Japanese,4.8,"Nut-Free,Dairy-Free",$$$
Travail Kitchen,"Robbinsdale, Minnesota","Mexican,Japanese",4.9,"Kosher,Vegetarian,Halal",$$$
The Kenwood,"Minneapolis, Minnesota","American,Mediterranean",4.5,Vegetarian,$$$
Alma,"Minneapolis, Minnesota","European,Japanese",4.7,"Gluten-Free,Nut-Free,Halal",$$
Mancini's,"St. Paul, Minnesota","Italian,Japanese",4.3,"Vegetarian,,Kosher",$$
Mu Mu's,"St. Paul, Minnesota","Italian,Mediterranean",4.2,"Vegetarian,Vegan",$$
Red Rabbit,"Minneapolis, Minnesota","Italian,Chinese",4.4,"Dairy-Free,Gluten-Free",$$
Broders' Pasta Bar,"Minneapolis, Minnesota",Italian,4.3,"Vegetarian,Halal",$$
Punch Pizza,"St. Paul, Minnesota","Italian,Asian",4.2,"Vegetarian,Dairy-Free,Halal",$$
Cossetta,"St. Paul, Minnesota","Italian,Asian",4.5,Vegetarian,$$$
Bar La Grassa,"Minneapolis, Minnesota","Italian,Mediterranean",4.6,"Vegetarian,,Kosher",$$$
112 Eatery,"Minneapolis, Minnesota","American,Japanese,Chinese",4.5,"Vegetarian,Dairy-Free,Halal",$$
The Manship,"Jackson, Mississippi","American,Chinese",4.5,"Vegetarian ,Kosher",$$$
Walker's Drive-In,"Jackson, Mississippi",American,4.6,"Gluten-Free ,Kosher",$$$
Elvie's,"Jackson, Mississippi","European,Indian",4.7,Vegetarian,$$$
Anjou,"Jackson, Mississippi","European,Italian",4.4,"Vegetarian ,Kosher",$$$
PJ's Coffee of New Orleans,"Jackson, Mississippi","European,Chinese",4.2,"Vegan ,Kosher",$
Aladdin Mediterranean Grill,"Jackson, Mississippi",Mediterranean,4.3,"Vegetarian, Vegan",$$
Thai Siam,"Jackson, Mississippi","Asian,American,Japanese",4.5,"Nut-Free,Vegan",$$
Sakura Bana Japanese Steakhouse,"Jackson, Mississippi","Japanese,Asian",4.4,"Nut-Free,Halal",$$
India Palace,"Jackson, Mississippi","Indian,American,Japanese",4.2,"Vegetarian,,Nut-Free,Vegan",$$
Mayflower Cafe,"Jackson, Mississippi",American,4.1,"Halal,Diary-Free",$
The Iron Horse Grill,"Jackson, Mississippi","American,Asian",4.3,"Gluten-Free ,Kosher",$$
Starkville Cafe,"Starkville, Mississippi",Mediterranean,4.4,"Vegetarian ,Kosher",$
Two Sisters Kitchen,"Jackson, Mississippi",Mexican,4.5,"Vegetarian ,Nut-Free",$
The Dinner Bell,"McComb, Mississippi","Chinese,European",4.3,"Halal,Diary-Free",$
Tabella,"Hattiesburg, Mississippi",Italian,4.4,"Vegetarian ,Kosher,Halal",$$
Cock of the Walk,"Ridgeland, Mississippi","Mexican,Japanese",4.2,"Halal,Diary-Free,Gluten-Free ",$$
The Little Dooey,"Starkville, Mississippi","American,Japanese",4.5,"Halal,Diary-Free",$
Petra Cafe,"Jackson, Mississippi","Mediterranean,Chinese,Asian",4.3,"Vegetarian,Vegan,Halal",$$
Aplos Restaurant,"Oxford, Mississippi","European,Italian",4.4,"Vegetarian ,Kosher",$$
The Rooster,"Jackson, Mississippi",American,4.2,"Vegetarian ,Kosher,Gluten-Free ",$
The Biscuit Shop,"Jackson, Mississippi","Mexican,Asian",4.3,"Vegetarian ,Kosher",$
The Sumo Japanese Steakhouse,"Biloxi, Mississippi",Japanese,4.4,Nut-Free,$$
China King,"Oxford, Mississippi","Chinese,Italian",4.1,"Nut-Free,Halal",$
The Mediterranean Grill,"Oxford, Mississippi","Mediterranean,Chinese",4.3,"Vegetarian, Vegan",$$
The Crown Restaurant,"Indianola, Mississippi",American,4.2,"Halal,Diary-Free",$
The Twisted Italian,"Biloxi, Mississippi","Italian,European",4.4,"Vegetarian ,Kosher",$$
The Shed Barbeque & Blues Joint,"Ocean Springs, Mississippi","American,Chinese",4.5,"Halal,Diary-Free",$$
The Half Shell Oyster House,"Biloxi, Mississippi","Mediterranean,European",4.3,"Gluten-Free ,Kosher",$
The Sicilian II,"Biloxi, Mississippi","Italian,Asian",4.2,"Vegetarian ,Kosher",$$
The Indian Grill,"Tupelo, Mississippi","Indian,Japanese,Asian",4.3,"Vegetarian, Vegan,Nut-Free",$$
Sushi Hana,"St. Louis, Missouri","American,European",4.5,Nut-free,$$
Nami Ramen,"Kansas City, Missouri","Japanese,American",4.3,Dairy-free,$$
Drunken Fish,"St. Louis, Missouri","Japanese,Asian",4.2,Vegetarian,$$
Rasoi,"St. Louis, Missouri",Indian,4.6,Vegetarian,$$
Gokul,"Columbia, Missouri","Indian,Mediterranean",4.4,Vegan,$
Taj Mahal,"St. Louis, Missouri","Indian,American,Asian",4.5,Halal,$$
Peking Garden,"St. Louis, Missouri","Chinese,Mediterranean",4.1,Nut-free,$
Joy Luck Buffet,"Kansas City, Missouri","Chinese,Japanese",3.9,Vegetarian,$
Red House,"St. Louis, Missouri","Chinese,Japanese,American",4.3,Gluten-free,$$
Olive + Oak,"St. Louis, Missouri","Mediterranean,Italian",4.7,Vegetarian,$$$
Acero,"St. Louis, Missouri","Italian,Asian",4.5,Gluten-free,$$$
Louie,"St. Louis, Missouri",Italian,4.6,Vegetarian,$$
The Pasta House,"St. Louis, Missouri","Italian,European,Indian",4.2,Vegetarian,$$
Charlie Gitto's,"St. Louis, Missouri","Italian,European",4.4,Vegetarian,$$
Zia's Restaurant,"St. Louis, Missouri","Italian,American",4.3,Vegetarian,$$
Balkan Treat Box,"St. Louis, Missouri","European,Asian",4.8,Vegetarian,$$
Cafe Natasha,"Kansas City, Missouri",Mediterranean,4.5,Halal,$$
The Scottish Arms,"St. Louis, Missouri","European,Italian",4.4,Vegetarian,$$$
Vin de Set,"St. Louis, Missouri","European,Chinese",4.5,Vegetarian,$$$
Peacemaker Lobster & Crab,"St. Louis, Missouri","Mexican,European,Italian",4.6,Nut-free,$$
Indo,"St. Louis, Missouri","Asian,Japanese",4.7,Vegan,$$
Sen Thai,"St. Louis, Missouri","Asian,Mediterranean,Japanese",4.4,Vegetarian,$$
Thai Table,"Columbia, Missouri","Asian,European",4.3,Gluten-free,$$
Mission Taco Joint,"St. Louis, Missouri","Mexican,Chinese",4.5,Vegetarian,$
Rosalita's Cantina,"Kansas City, Missouri","Mexican,Japanese",4.2,Vegetarian,$$
Ixtapa Mexican Restaurant,"Jefferson City, Missouri","Mexican,American",4.1,Vegetarian,$$
Pueblo Solis,"Springfield, Missouri","Mexican,Mediterranean",4,Vegetarian,$$
Lona's Lil Eats,"St. Louis, Missouri","Asian,Mediterranean",4.6,Vegan,$$
Lulu's Local Eatery,"St. Louis, Missouri","American,Japanese",4.5,Vegetarian,$$
Frida's,"Kansas City, Missouri","Mexican,European,American",4.4,Vegetarian,$$$
The Keep Restaurant,"Missoula, Montana","European,Italian,Asian",4.6,"Vegetarian,Nut-Free",$$$
Bridge Pizza,"Missoula, Montana","Asian,Indian",4.5,"Vegetarian, Vegan",$$
Five on Black,"Bozeman, Montana","Mexican,Mediterranean,Indian",4.4,"Gluten-Free,Halal",$$
Caffe Dolce,"Bozeman, Montana","Italian,Chinese,Japanese",4.7,Vegetarian,$$
Mustard Seed,"Bozeman, Montana","American,European,Asian",4.3,"Nut-Free,Vegan",$$
Pangea,"Missoula, Montana","Asian,Japanese",4.5,"Vegetarian, Vegan",$$
Scotty's Table,"Missoula, Montana","American,Chinese",4.6,"Gluten-Free,Nut-Free",$$$
The Red Bird,"Helena, Montana","American,Mediterranean",4.4,"Vegetarian,Gluten-Free,Kosher",$$
Plonk,"Bozeman, Montana","Japanese,Indian,Asian",4.5,"Vegetarian,Vegan",$$$
Blackbird Kitchen,"Missoula, Montana","American,Steakhouse,Mexican",4.6,"Gluten-Free,Halal",$$
Tamarack Brewing Company,"Lakeside, Montana","American,European,Indian",4.3,Vegetarian,$$
The Silk Road,"Bozeman, Montana","Mediterranean,Chinese",4.5,"Vegetarian, Vegan",$$
Montana Club,"Billings, Montana","American,Chinese,Asian",4.2,"Nut-Free,Vegan",$$
Dave's Sushi,"Missoula, Montana","Japanese,Indian",4.5,Vegetarian,$$
The Soup Shack,"Bozeman, Montana","American,Chinese,Asian",4.3,"Vegetarian,Halal",$$
Biga Pizza,"Missoula, Montana","Italian,European,Indian",4.6,"Vegetarian,Gluten-Free",$$$
The Catalyst Cafe,"Missoula, Montana","American,Indian,Chinese",4.4,"Vegetarian,Kosher",$$
Second Set Bistro,"Whitefish, Montana","French,European,Japanese",4.7,Vegetarian,$$
The Shak,"Whitefish, Montana","American,Indian,Mediterranean",4.5,"Vegetarian,Vegan",$$
The Dining Car at the Depot,"Missoula, Montana","American,European",4.6,Vegetarian,$$
The Notorious P.I.G.,"Billings, Montana","American,Steakhouse,Mexican",4.4,"Nut-Free,Kosher,Diary-Free",$$
The Burger Dive,"Billings, Montana","American,Mediterranean",4.5,"Vegetarian,Gluten-Free",$$
The Roost,"Bozeman, Montana","American,Chinese",4.3,"Vegetarian,Nut-Free",$$
The Montana Rib and Chop House,"Billings, Montana","Steakhouse,American,Chinese",4.5,"Vegetarian,Kosher",$$
The Fieldhouse,"Missoula, Montana","American,European,Mediterranean",4.4,"Vegetarian,Kosher",$$
The Staggering Ox,"Helena, Montana","American,Japanese,Mediterranean",4.3,"Vegetarian,Nut-Free",$$
The Soup Bar,"Bozeman, Montana","American,Indian,",4.2,"Vegetarian,Vegan",$$
The Burger Shack,"Billings, Montana","American,Steakhouse,Mexican",4.4,"Vegetarian,Gluten-Free",$$
The Taco Treat,"Billings, Montana","Mexican,Indian,Asian",4.3,"Vegetarian,Kosher",$$
The Wren,"Missoula, Montana","American,European,Chinese",4.5,"Vegetarian,Vegan",$$
Raku,"Las Vegas, Nevada","Japanese,Indian,Mediterranean",4.8,"Nut-Free,Halal",$$$
Lotus of Siam,"Las Vegas, Nevada","Asian,Japanese,Chinese,Indian",4.7,Vegetarian,$$
Kabuto Edomae Sushi,"Las Vegas, Nevada","Japanese,Chinese,Mexican",4.9,"Nut-Free,Kosher",$$$
Sparrow + Wolf,"Las Vegas, Nevada","Mexican,Mediterranean,American",4.6,Vegetarian,$$$
La Strega,"Las Vegas, Nevada","Italian,Chinese,Mexican",4.5,"Vegetarian,Kosher",$$$
Echo & Rig,"Las Vegas, Nevada","American,Steakhouse,Asian",4.4,Gluten-Free,$$$
Tacos El Gordo,"Las Vegas, Nevada","Mexican,Mediterranean,Asian",4.3,Vegetarian,$
Shanghai Taste,"Las Vegas, Nevada","Chinese,Indian,Japanese,Asian",4.2,"Nut-Free,Diary-Free",$$
Saffron Flavors of India,"Las Vegas, Nevada","Indian,Japanese,Asian,American",4.5,"Vegetarian, Vegan",$$
Paymon's Mediterranean,"Las Vegas, Nevada","Mediterranean,American",4.4,Vegetarian,$$
La Vecindad,"Las Vegas, Nevada","Mexican,Japanese,Chinese,American",4.3,"Vegetarian,vegan,Halal",$$
Trattoria Reggiano,"Las Vegas, Nevada","Italian,Mediterranean",4.5,Vegetarian,$
Gabi Coffee & Bakery,"Las Vegas, Nevada","European,Mediterranean,Asian",4.2,"Vegan,Halal",$
Tofu Hut,"Las Vegas, Nevada","Asian,Indian,Chinese",4.1,"Vegan,Kosher",$$
Black Sheep,"Las Vegas, Nevada","American,Mexican,Indian",4.6,"Vegetarian,Vegan",$$
Dish,"Omaha, Nebraska","American,European",4.5,Vegetarian,$$$
The Grey Plume,"Omaha, Nebraska","Chinese,American,Mediterranean",4.7,Gluten-Free,$$
Maharaja Indian Cuisine,"Omaha, Nebraska","Indian,European,Asian",4.3,"Vegetarian, Vegan",$$$
Blue Sushi Sake Grill,"Omaha, Nebraska","Japanese,American,Chinese",4.6,Nut-Free,$$
Spezia,"Omaha, Nebraska","Italian,European,Mediterranean",4.4,Vegetarian,$
La Casa Pizzaria,"Lincoln, Nebraska","Italian,Asian,Chinese",4.2,Vegetarian,$$
The Himalayan,"Lincoln, Nebraska","Indian,Chinese,Mediterranean",4.5,"Halal,Diary-Free",$$
Pita & Naan,"Omaha, Nebraska","Mediterranean,Asian",4.3,"Vegetarian, Vegan",$$
M's Pub,"Omaha, Nebraska","American,Indian",4.4,"Vegetarian,Kosher",$$
Lalibela Ethiopian Restaurant,"Omaha, Nebraska","European,American,Mediterranean",4.6,"Vegan,Diary-Free",$$$
Stokin' Goat,"Lincoln, Nebraska","American,Asian,Mediterranean",4.5,Gluten-Free,$$
Vincenzo's Ristorante,"Omaha, Nebraska","Italian,Indian,Mediterranean",4.4,Vegetarian,$
The Oven,"Lincoln, Nebraska","Indian,Asian,Chinese",4.3,"Vegetarian,Diary-Free",$$
Feta's Greek Cuisine,"Omaha, Nebraska","European,Indian,American",4.2,Vegetarian,$$
AmuManu Ramen,"Lincoln, Nebraska","Japanese,European,Asian",4.5,"Nut-Free,Kosher",$
Agricola,"Princeton, New Jersey","American,Asian,Mexican",4.5,"Vegetarian,Halal,Diary-Free",$$$
Ariana Kabob & Gyro,"Paterson, New Jersey","Mediterranean,Japanese",4.6,Halal,$
Cafe Matisse,"Rutherford, New Jersey","European,Mexican",4.7,Vegetarian,$$$
Crown Palace,"Edison, New Jersey","Chinese,Japanese",4.2,Nut-Free,$$
Dhaba,"Jersey City, New Jersey","Indian,Chinese",4.4,"Vegetarian,Vegan",$$
Dim Sum Dynasty,"Marlboro, New Jersey","Chinese,Asian",4.3,Nut-Free,$$
Europa South,"Jersey City, New Jersey","European,Chinese",4.5,Gluten-Free,$$$
Fascino,"Montclair, New Jersey","Italian,European",4.6,Vegetarian,$$
Hunan Taste,"Edison, New Jersey","Chinese,Mexican,Asian",4.4,Nut-Free,$$$
Ichiran,"Newark, New Jersey","Japanese,Chinese",4.8,"Halal,Vegan,Kosher",$$$
Komegashi,"Edgewater, New Jersey","Japanese,Mediterranean",4.5,Vegetarian,$
Kurofune,"Princeton, New Jersey","Japanese,European",4.6,Nut-Free,$$$
La Isla,"Hoboken, New Jersey","Mexican,Asian",4.4,"Vegetarian,Halal,Diary-Free",$
Lorena's,"Maplewood, New Jersey","European,Chinese",4.7,Vegetarian,$$$
Mamoun's Falafel,"New Brunswick, New Jersey",Mediterranean,4.3,"Vegetarian,Vegan",$$$
Mantra,"Jersey City, New Jersey","Indian,European",4.5,"Vegetarian, Halal",$$$
Maritime Parc,"Jersey City, New Jersey","American,Asian",4.6,"Gluten-Free,Halal,Diary-Free",$$
Matsu,"Fort Lee, New Jersey","Japanese,Asian",4.7,Nut-Free,$
Mediterra,"Princeton, New Jersey",Mediterranean,4.5,"Vegetarian,Gluten-Free",$$
Mitsuwa Marketplace,"Edgewater, New Jersey","Japanese,Asian,Mexican",4.4,Vegetarian,$$$
Mogador,"New York, New Jersey","Mediterranean,Asian,Chinese",4.5,Vegetarian,$$$
Noodlefan,"Jersey City, New Jersey","Asian,Mediterranean",4.3,Nut-Free,$$
Osteria Morini,"Jersey City, New Jersey","Italian,European,Mexican",4.6,"Vegetarian,Halal,Diary-Free",$$
Pascal & Sabine,"Hoboken, New Jersey","Mediterranean,European",4.7,Gluten-Free,$
Ramen Nagomi,"Montclair, New Jersey","Japanese,Chinese",4.5,Vegetarian,$$
Rasoi,"Edison, New Jersey","Indian,European,Japanese",4.4,"Vegetarian,Vegan",$$
Sagami,"Collingswood, New Jersey",Japanese,4.6,Vegetarian,$$
Sapthagiri,"Edison, New Jersey","Indian,Asian,Chinese",4.3,Vegetarian,$
Taco Truck,"Jersey City, New Jersey","Mexican,European,Asian",4.2,"Halal,Vegan,Kosher",$$
Taste of Asia,"Edison, New Jersey","Asian,Mexican,Mediterranean",4.4,Nut-Free,$$
The Copper Door,"Bedford, New Hampshire",American,4.6,"Gluten-Free,Halal,Diary-Free",$$$
Green Elephant,"Portsmouth, New Hampshire",Asian,4.5,"Vegan,Vegetarian,Dairy-Free",$$
Shalimar India,"Nashua, New Hampshire",Indian,4.3,"Vegetarian,Halal,Kosher",$$
Hiro Japanese Restaurant,"Portsmouth, New Hampshire",Japanese,4.7,"Nut-Free,Kosher",$$$
Thyme Kitchen,"Exeter, New Hampshire",Mediterranean,4.4,"Vegetarian, Gluten-Free",$$
The Black Birch,"Kittery, New Hampshire",American,4.6,"Vegetarian,Halal,Diary-Free",$$$
Street,"Portsmouth, New Hampshire",European,4.5,"Dairy-Free,Halal,Diary-Free",$$
The Wellington Room,"Portsmouth, New Hampshire",European,4.4,"Gluten-Free,Dairy-Free",$
Annapurna Authentic Cuisine of India,"Manchester, New Hampshire",Indian,4.2,"Vegetarian,Kosher",$$
Flatbread Company,"Portsmouth, New Hampshire",Italian,4.3,"Vegetarian,Vegan",$$
La Festa Brick & Brew Pizzeria,"Manchester, New Hampshire",Italian,4.5,"Vegetarian,Dairy-Free",$$
The Red Blazer,"Concord, New Hampshire",American,4.1,"Halal,Vegan,Kosher",$$$
Moxy,"Portsmouth, New Hampshire",Tapas,4.7,"Vegetarian, Vegan,Kosher",$$
The Black Trumpet,"Portsmouth, New Hampshire",Mediterranean,4.6,"Vegetarian,Gluten-Free",$$
The Rosa Restaurant,"Manchester, New Hampshire",Italian,4.3,"Vegetarian,Halal,Diary-Free",$$
Sakura Sushi,"Albuquerque, New Mexico","Japanese,Chinese,Mexican",4.3,Nut-free,$$
Naruto Japanese Restaurant,"Albuquerque, New Mexico","Japanese,Asian,European",4.1,Dairy-free,$$
Taj Mahal Cuisine of India,"Albuquerque, New Mexico","Indian,Asian,Japanese",4.4,Vegetarian,$$
India Palace,"Albuquerque, New Mexico","Indian,Chinese,Mexican",4.2,Vegan,$$
Chopstix Asian Bistro,"Albuquerque, New Mexico","Asian,Indian,European",4,Nut-free,$
Great Wall Chinese Restaurant,"Albuquerque, New Mexico","Chinese,Asian,Indian",4.1,Gluten-free,$
Mesa Asian Bistro,"Albuquerque, New Mexico","Asian,Japanese,Chinese",4.3,Vegetarian,$$
La Placita Dining Rooms,"Albuquerque, New Mexico","Mexican,Italian,European",4.5,"Halal,Vegan,Kosher",$$$
El Pinto Restaurant,"Albuquerque, New Mexico","Mexican,Asian,Indian",4.4,"Vegetarian ,Halal,Diary-Free",$$
D.H. Lescombes Winery & Bistro,"Albuquerque, New Mexico","European,Chinese,Italian",4.2,"Vegetarian ,Halal,Diary-Free",$$$
Artichoke Café,"Albuquerque, New Mexico","American,Japanese,Indian",4.5,Vegetarian,$$$
Farm & Table,"Albuquerque, New Mexico","American,Indian,Chinese",4.6,"Vegetarian, Vegan",$$
Zinc Wine Bar & Bistro,"Albuquerque, New Mexico","European,Japanese,Italian",4.4,"Vegetarian ,Halal,Diary-Free",$$$
Antiquity Restaurant,"Albuquerque, New Mexico","American,Japanese,Italian",4.3,Gluten-free,$$$
Vinaigrette,"Santa Fe, New Mexico","American,Chinese,European",4.5,"Vegetarian,Nut-freeVegan",$$
The Grove Café & Market,"Albuquerque, New Mexico","American,Asian,Mexican",4.4,"Vegetarian,Nut-free,Gluten-free",$$
Farina Alto Pizzeria & Wine Bar,"Albuquerque, New Mexico","Italian,European",4.3,Vegetarian,$$$
Paisano's Italian Restaurant,"Albuquerque, New Mexico","Italian,Chinese",4.2,"Vegetarian ,Halal,Diary-Free",$$$
Scalo Northern Italian,"Albuquerque, New Mexico","Italian,European",4.5,"Vegetarian ,Halal,Diary-Free",$$$
M'Tucci's Italian,"Albuquerque, New Mexico","Italian,Japanese,Indian",4.4,"Vegetarian ,Halal,Diary-Free",$$$
Sassella Italian,"Albuquerque, New Mexico","Italian,Mexican",4.3,"Vegetarian ,Halal,Diary-Free",$$$
Sazón,"Santa Fe, New Mexico","Mexican,European",4.7,"Halal,Vegan,Kosher",$$
Terra Restaurant,"Santa Fe, New Mexico","American,Indian",4.5,"Vegetarian, Gluten-free",$$
Campo at Los Poblanos,"Los Ranchos de Albuquerque, New Mexico","Mediterranean,European",4.6,"Vegetarian, Vegan",$
Vernon's Speakeasy,"Albuquerque, New Mexico","American,Italian",4.4,"Halal,Vegan,Kosher",$
The Range Café,"Albuquerque, New Mexico","American,Japanese",4.3,"Vegetarian ,Halal,Diary-Free",$$
Sadie's of New Mexico,"Albuquerque, New Mexico","Mexican,Asian,Italian",4.5,"Halal,Vegan,Kosher",$$$
Mary & Tito's Café,"Albuquerque, New Mexico","Mexican,Asian,Indian",4.4,"Halal,Vegan,Kosher",$$  
Padilla's Mexican Kitchen,"Albuquerque, New Mexico","Mexican,Indian,Chinese",4.3,"Halal,Vegan,Kosher",$  
El Farol,"Santa Fe, New Mexico","Mediterranean,Asian,Japanese",4.5,"Vegetarian ,Halal,Diary-Free",$$  
Katz's Delicatessen  ,New York,"American,Mexican,Italian",4.5,"Vegetarian ,Halal,Diary-Free",$$$  
Xi'an Famous Foods  ,New York,"Chinese,Asian,Indian,American  ",4.4,Gluten-free,$$  
Ippudo NY  ,New York,"Japanese,Asian,Chinese   ",4.6,"Vegetarian,Nut-freeVegan",$$$  
Tamarind Tribeca  ,New York,"Indian,Italian,Mediterranean ",4.3,"Vegetarian,Nut-free,Gluten-free",$$$  
Laut  ,New York,"Asian,Chinese,European,American   ",4.2,Vegetarian,$$$  
Il Buco  ,New York,"Italian ,Chinese,Indian",4.7,"Vegetarian ,Halal,Diary-Free",$$  
Lilia  ,New York,"Italian ,Indian,European ",4.8,"Vegetarian ,Halal,Diary-Free",$$  
Via Carota  ,New York,"Italian ,Mediterranean ,Mexican",4.7,"Vegetarian ,Halal,Diary-Free",$$$  
Olive Garden Times Square  ,New York,"Italian,European,Mexican,,American   ",3.9,"Vegetarian ,Halal,Diary-Free",$$$  
Jajaja Mexicana  ,New York,"Mexican,Asian,Indian",4.5,"Halal,Vegan,Kosher",$$  
Semma  ,New York,"Indian,Chinese,Italian",4.6,"Vegetarian, Gluten-free",$$$  
Dhamaka  ,New York,"Indian,Asian,Chinese",4.7,"Vegetarian, Vegan",$$  
Rosella  ,New York,"European,Asian,Chinese   ",4.4,"Halal,Vegan,Kosher",$  
The Musket Room  ,New York,"European,Italian,Mexican  ",4.5,"Vegetarian ,Halal,Diary-Free",$$$  
Cafe Mogador  ,New York,"Mediterranean,Asian,European ",4.3,"Halal,Vegan,Kosher",$$$  
Buddha Bodai  ,New York,"Chinese,Italian,European,American  ",4.1,"Halal,Vegan,Kosher",$$  
Sushi Nakazawa  ,New York,"Japanese,Asian,Indian",4.8,"Halal,Vegan,Kosher",$$  
Sushi Yasuda  ,New York,"Japanese,Chinese,Mexican  ",4.7,"Vegetarian ,Halal,Diary-Free",$$$  
Totto Ramen  ,New York,"Japanese,Italian,European  ",4.4,"Vegetarian,Gluten-Free",$$$  
Han Dynasty  ,New York,"Chinese,Asian,Mediterranean   ",4.3,"Vegetarian,Halal,Diary-Free",$$$  
Blue Hill  ,New York,"American,Indian,Mexican",4.6,Nut-free,$$  
ABC Kitchen  ,New York,"American,Italian,Mexican ",4.5,Dairy-free,$$$  
Cosme  ,New York,"Mexican ,Asian,Indian",4.7,Vegetarian,$$
